#,key,char,hbl,cat,edb,jp,eng,cmn,urd,urd_,nep,hin,hin_,ind
18770,於是,於是,hbl__04,,edb__KS1,jyu1-si6,so,于是,پھر,,तसर्थ,इसलिये,,maka
18780,旁,旁,hbl__04,,edb__KS1,pong4,side,旁,طرف,taraf,छेउ,किनारा,,Di samping
18790,旁人,旁人,hbl__04,,edb__KS1,pong4-jan4,others,旁人,دوسرے ,dosrai ,अन्य मानिसहरु,अन्य लोग,,orang lain
18800,旁邊,旁邊,hbl__04,,edb__KS1,pong4-bin1,side,旁边,پہلو,phlo,अर्को तर्फ,के पास,,di samping
18810,日出,日出,hbl__04,cat__n_time,edb__KS1,jat6-ceot1,sunrise,日出,طلوع آفتاب,talo iftab,सूर्योदय,सूर्योदय,,matahari terbit
18820,日前,日前,hbl__04,,edb__KS1,jat6-cin4,a few days ago,日前,تھوڑے دن پہلے,thorai din phlai,केही दिन अगाडी,कुछ दिन पहले,,Beberapa hari yang lalu
18830,日夜,日夜,hbl__04,,edb__KS1,jat6-je6,day and night,日夜,دن اور رات,din aur raat,दिन र रात,दिन और रात,,siang dan malam
18840,日子,日子,hbl__04,,edb__KS1,jat6-zi2,date,日子,تاریخ,tareekh,मिति,तारीख़,,hari
18850,日常,日常,hbl__04,,edb__KS1,jat6-soeng4,daily,日常,روزانہ,rozana,दैनिक,रोज,,harian
18860,日期,日期,hbl__04,,edb__KS1,jat6-kei4,date,日期,تاریخ,tareeq,मिति,तारीख,,tanggal
18870,日本,日本,hbl__04,,edb__KS1,jat6-bun2,Japan,日本,جاپان,japan,जापान,जापान,,Jepang
18880,日用,日用,hbl__04,,edb__KS1,jat6-jung6,daily use,日用,روزانہ استعمال,rozana istamal,दैनिक प्रयोग,रोजमर्रा की ,,digunakan tiap hari
18890,日落,日落,hbl__04,cat__n_time,edb__KS1,jat6-lok6,sunset,日落,غروب,gharob,सूर्यास्त,सूर्यास्त ,,matahari terbenam
18900,日記,日記,hbl__04,,edb__KS1,jat6-gei3,diary,日记,ڈائری,diary,दैनिकी,डायरी,,buku harian
18910,日間,日間,hbl__04,,edb__KS1,jat6-gaan1,daytime,日间,دن کے وقت,din kai waqat,दिवा समय,दिन में ,,Siang hari
18920,早上,早上,hbl__04,,edb__KS1,zou2-soeng6,morning,早上,صبح,subah,बिहान,सुबह,,pagi
18930,早已,早已,hbl__04,,edb__KS1,zou2-ji5,for a long time,早已, لمبے عرصہ,lambay arsay,लामो समयका लागी,काफी समय से ,,sejak dulu
18940,早餐,早餐,hbl__04,,edb__KS1,zou2-caan1,breakfast,早餐,ناشتہ,nashta,बिहानको खाजा,सुबह का नाश्ता,,sarapan
18950,旺,旺,hbl__04,,edb__KS1,wong6,prosperous,旺,خوشحال,kush haal,समृद्ध,समृद्ध,,Makmur
18960,明亮,明亮,hbl__04,,edb__KS1,ming4-loeng6,bright,明亮,روشن,roshan,उज्यालो,उज्ज्वल,,Terang
18970,明天,明天,hbl__04,,edb__KS1,ming4-tin1,tomorrow,明天,کل,kal,भोली,आने वाला कल,,besok
18980,明日,明日,hbl__04,,edb__KS1,ming4-jat6,tomorrow,明日,کل,kal,भोली,आने वाला कल,,besok
18990,明明,明明,hbl__04,,edb__KS1,ming4-ming4,obviously,明明,ظاہر ہے,zaher hai,स्पष्ट रूपमा,स्पष्ट रूप से,,Jelas sekali
19000,明星,明星,hbl__04,,edb__KS1,ming4-sing1,star,明星,ستارہ,sitarah,प्रसिद्ध व्यक्ति,प्रसिद्ध व्यक्ति,,Selebriti
19010,明月,明月,hbl__04,,edb__KS1,ming4-jyut6,bright moon,明月,روشن چاند,roshan chand,उज्यालो चन्द्रमा,उज्ज्वल चाँद,,Bulan terang
19020,明知,明知,hbl__04,,edb__KS1,ming4-zi1,know well,明知,اچھی طرح جاننا,achi tarah janna,प्रख्यात,मालूम होना,,Disadari
19030,星,星,hbl__04,,edb__KS1,sing1,star,星,ستارہ,star,तारा,सितारा,,bintang
19040,星星,星星,hbl__04,,edb__KS1,sing1-sing1,star,星星,ستارہ,star,तारा,सितारा,,bintang
19050,星期日,星期日,hbl__04,,edb__KS1,sing1-kei4-jat6,Sunday,星期日,اتوار,itwar ,आइतवार,रविवार,,pada hari Minggu
19060,春,春,hbl__04,,edb__KS1,ceon1,spring,春,بہار,bahar,बसन्त,वसंत,,musim semi
19070,春節,春節,hbl__04,,edb__KS1,ceon1-zit3,Chinese New Year,春节,چینی نیا سال,chinese naya sal,चिनियाँ नयाँ वर्ष,चीनी नववर्ष,,tahun baru Imlek
19080,春風,春風,hbl__04,,edb__KS1,ceon1-fung1,spring breeze,春风, بہار کی ہوا,bhar ki hawa,बसन्त हावा,बसंत की हवा,,angin musim semi
19090,是,是,hbl__04,,edb__KS1,si6,yes,是,جی ہاں,g ha,हो,हाँ,,Iya
19100,是但,是但,hbl__04,cat__freq,edb__NA,si6-daan6,whatever,随便,جو بھی,jo bhi,जेसुकै भएपनि,जो कुछ भी,,terserah
19110,時常,時常,hbl__04,,edb__KS1,si4-soeng4,often,时常,اکثر,aksar,अक्सर,हमेशा,,sering
19120,時時,時時,hbl__04,,edb__KS1,si4-si4,constantly,时时,مسلسل,musalsal,लगातार,पुरे समय,,Sepanjang waktu
19130,時時刻刻,時時刻刻,hbl__04,,edb__KS1,si4-si4-hak1-hak1,all the time,时时刻刻,ہر لمحہ,har lamha,हरेक समय,हर पल,,Setiap saat
19140,時期,時期,hbl__04,,edb__KS1,si4-kei4,a particular period,时期,ایک خاص مدت,aik khaas mudat,निश्चित अवधि,अवधि,,waktu tertentu
19150,時節,時節,hbl__04,,edb__KS1,si4-zit3,festive season,时节,تہوار کا موسم,tayhwar ka mosam,चाडपर्वको समय,त्यौहार का समय ,,musim
19160,時裝,時裝,hbl__04,,edb__KS1,si4-zong1,fashion,时装,فیشن,faishon,फेसन,फैशन,,pakaian trendy
19170,時鐘,時鐘,hbl__04,,edb__KS1,si4-zung1,clock,时钟,گھڑی,ghari,घडी,घड़ी,,jam
19180,晚上,晚上,hbl__04,,edb__KS1,maan5-soeng6,night,晚上,رات کو,raat ko,रात,रात ,,di malam hari
19190,晚會,晚會,hbl__04,,edb__KS1,maan5-wui2,evening party,晚会,پارٹی,party,पार्टि भोज,शाम का जमघट,,Pesta
19200,晚間,晚間,hbl__04,,edb__KS1,maan5-gaan1,evening,晚间,شام,shaam,साँझ,शाम,,malam
19210,晚飯,晚飯,hbl__04,,edb__KS1,maan5-faan6,dinner,晚饭,رات کا کھانا,raat ka khana,रातीको खाना,रात का खाना,,makan malam
19220,晚餐,晚餐,hbl__04,,edb__KS1,maan5-caan1,dinner,晚餐,رات کا کھانا,raat ka khana,रातीको खाना,रात का खाना,,makan malam
19230,普通,普通,hbl__04,,edb__KS1,pou2-tung1,ordinary,普通,عام,amm,साधारण,साधारण,,biasa
19240,更,更,hbl__04,,edb__KS1,gang3,even more,更,مزید,mazeed,अझ धेरै,अधिक,,lebih
19250,更,更,hbl__04,,edb__KS1,gang1,change,更,تبدیلی,tabdeeli,परिवर्तन,बदलना,,ganti
19260,更,更,hbl__04,,edb__KS1,gaang1,shift,更,شفٹ,shift,पालो फेर्नु,शिफ्ट,,giliran
19270,更加,更加,hbl__04,cat__adv,edb__KS1,gang3-gaa1,more,更加,مزید,mazeed,अधिक,अधिक,,lebih
19280,更換,更換,hbl__04,,edb__KS1,gang1-wun6,exchange,更换,تبدیل کریں,tabdel,बदल्नुहोस्,बदलना ,,tukar
19290,書信,書信,hbl__04,,edb__KS1,syu1-seon3,letter,书信,خط,khat,चिठी,पत्र,,surat
19300,書包,書包,hbl__04,,edb__KS1,syu1-baau1,schoolbag,书包,اسکول کا بستہ,school ka basta,स्कूल झोला,बस्ता,,tas sekolah
19310,書寫,書寫,hbl__04,,edb__KS1,syu1-se2,write,书写,لکھیں,likhai,लेख्नुहोस्,लिखना ,,menulis
19320,書店,書店,hbl__04,,edb__KS1,syu1-dim3,bookshop,书店,کتابوں کی دکان,kitabo ki dukan,किताब पसल,किताबों की दुकान,,toko buku
19330,書房,書房,hbl__04,,edb__KS1,syu1-fong4[syu1-fong2],study room,书房,مطالعہ,mutalah,अध्ययन गर्ने कोठा,अध्ययन कक्ष ,,ruang belajar
19340,書本,書本,hbl__04,,edb__KS1,syu1-bun2,book,书本,کتاب,kitabo ki dukan,पुस्तक,पुस्तक,,Book
19350,書架,書架,hbl__04,,edb__KS1,syu1-gaa3,bookshelf,书架,کتابوں کی الماری,kitabu ki almary,किताबको तखता,किताबों की अल्मारी,,rak buku
19360,書法,書法,hbl__04,,edb__KS1,syu1-faat3,calligraphy,书法,خطاطی,kitaty,लेख्ने कला,हस्तलिपि,,kaligrafi
19370,書記,書記,hbl__04,,edb__KS1,syu1-gei3,secretary,书记,سیکرٹری,secretary,सचिव,सचिव,,sekretaris
19380,書面,書面,hbl__04,,edb__KS1,syu1-min2,book cover,书面,کتاب کی جلد,kitaab ki jild,गाता,लिखित,,cover buku
19381,書面,書面,hbl__04,,edb__KS1,syu1-min2,in writing,书面,لکھا ہوا,likha howa,लेखिएको,लिखित,,tertulis
19390,最好,最好,hbl__04,cat__freq,edb__NA,zeoi3-hou2,best,最好,بہترین,behtareen,सबै भन्दा राम्रो,सबसे अच्छा,,terbaik
19400,最近,最近,hbl__04,,edb__KS1,zeoi3-gan6,recently,最近,حالیہ,halia,भर्खर,हाल का,,baru
19410,會員,會員,hbl__04,,edb__KS1,wui2-jyun4,member,会员,رکن,rukan,सदस्य,सदस्य,,anggota
19420,會場,會場,hbl__04,,edb__KS1,wui6-coeng4,meeting place,会场,ملنے کی جگہ,milnay ki jaga,भेट्ने ठाउँ,मिलने की जगह,,Lokasi
19430,會見,會見,hbl__04,,edb__KS1,wui6-gin3,receive,会见,ملنا,milna,भेट्नु,मिलना,,pertemuan
19440,月份,月份,hbl__04,,edb__KS1,jyut6-fan6,month,月份,مہینہ,mahena,महिना,महीना,,bulan
19450,月光,月光,hbl__04,,edb__KS1,jyut6-gwong1,moonbeam,月光,چاندنی,chaandni,जूनको प्रकाश रेखा,चांदनी,,sinar bulan
19460,月色,月色,hbl__04,,edb__KS1,jyut6-sik1,moonlight,月色,چاندنی,chand ni,जूनको उज्यालो,चांदनी,,Sinar bulan
19470,月餅,月餅,hbl__04,,edb__KS1,jyut6-beng2,mooncake,月饼,چاند کیک,chaand kaik,मून केक,मून केक,,kue bulan
19480,有名,有名,hbl__04,,edb__KS1,jau5-ming4,famous,有名,مشہور,mashhoor,प्रख्यात,प्रसिद्ध,,terkenal
19490,有害,有害,hbl__04,,edb__KS1,jau5-hoi6,harmful,有害,نقصان دہ,nuqsan dai,हानिकारक,हानिकारक,,berbahaya
19500,有時候,有時候,hbl__04,,edb__KS1,jau5-si4-hau6,sometimes,有时候,کبھی کبھی,kabhi kabhi,कहिलेकाँही,कभी कभी,,terkadang
19510,有用,有用,hbl__04,,edb__KS1,jau5-jung6,useful,有用,مفید,mofeed,काम लाग्ने,उपयोगी,,ada guna
19520,有的,有的,hbl__04,,edb__KS1,jau5-dik1,some,有的,کچھ,kusch,केहि,कुछ,,beberapa
19530,有着,有着,hbl__04,,edb__KS1,jau5-zoek6,having,有着,ہے,hai,हुनु,है,,memiliki
19540,有趣,有趣,hbl__04,,edb__KS1,jau5-ceoi3,interesting,有趣,دلچسپ,dilshasb,चाखलाग्दो,दिलचस्प,,menarik
19550,有錢,有錢,hbl__04,,edb__KS1,jau5-cin2,rich,有钱,امیر,ammer,धनी,धनी,,kaya
19560,有點,有點,hbl__04,,edb__KS1,jau5-dim2,a bit,有点,تھوڑا سا,thora sa,थोरै,थोड़ा,,sedikit
19570,服,服,hbl__04,,edb__KS1,fuk6,clothes,服,کپڑے,kapray ,लुगा,कपड़े,,pakaian
19580,服從,服從,hbl__04,,edb__KS1,fuk6-cung4,obey,服从,اطاعت,itat,पालन ​​गर्नुहोस्,आज्ञा का पालन,,mematuhi
19590,服用,服用,hbl__04,,edb__KS1,fuk6-jung6,take (medicine),服用,(دوا) لے لو,lay lo(dawa),लिनु,दवा लेना,,minum (obat)
19600,服裝,服裝,hbl__04,,edb__KS1,fuk6-zong1,attire,服装,زيب تَن کَرنا,zayb tan karna,लुगा,पोशाक,,pakaian
19610,服食,服食,hbl__04,,edb__KS1,fuk6-sik6,take (medicine),服食,(دوا) لے لو,lay lo(dawa),लिनुहोस्,लेना,,minum (obat)
106190,望住,望住,hbl__04,,,mong6-zyu6,stare,,,,,,,
19620,望遠鏡,望遠鏡,hbl__04,,edb__KS1,mong6-jyun5-geng3,telescope,望远镜,دوربین,dor bean,टेलिस्कोप,दूरबीन,,teleskop
19621,望遠鏡,望遠鏡,hbl__04,,edb__KS1,mong6-jyun5-geng3,binoculars,望远镜,دوربین,dor bean,दूरबिन,दूरबीन,,teleskop
19630,期,期,hbl__04,,edb__KS1,kei4,phase,期,مدت,meht,अवधि,अवधि,,tahap
19631,期,期,hbl__04,,edb__KS1,kei4,hope,期,امید,umeed,आशा,अवधि,,harap
19640,期望,期望,hbl__04,,edb__KS1,kei4-mong6,expectation,期望,توقع,towaqa,अपेक्षा,उम्मीद,,Mengharapkan
19650,期間,期間,hbl__04,,edb__KS1,kei4-gaan1,period of time,期间,وقت کی مدت,waqat ki mudat,समय अवधि,अवधि,,masa waktu
19660,木,木,hbl__04,,edb__KS1,muk6,wood,木,لکڑی,lakrhi,काठ,लकड़ी,,kayu
19670,木屋,木屋,hbl__04,,edb__KS1,muk6-uk1,wooden house,木屋,لکڑی کا گھر,lakri ka ghar,काठको घर,लकड़ी का घर ,,rumah kayu
19680,木瓜,木瓜,hbl__04,,edb__KS1,muk6-gwaa1,papaya,木瓜,پپیتا,papita,मेवा,पपीता,,pepaya
19690,木頭,木頭,hbl__04,,edb__KS1,muk6-tau4,log,木头,لاگ,log,काठ,लकड़ी,,kayu balok
19700,未來,未來,hbl__04,,edb__KS1,mei6-loi4,future,未来,مستقبل,mustaqbil,भविष्य,भविष्य,,masa depan
19710,本事,本事,hbl__04,,edb__KS1,bun2-si6,ability,本事,قابلیت,qabilyat,क्षमता,योग्यता,,kemampuan
19720,本人,本人,hbl__04,,edb__KS1,bun2-jan4,oneself,本人,میں,mai,स्वयं,स्वयं,,Saya
19730,朱古力,朱古力,hbl__04,,edb__KS1,zyu1-gu1-lik1,chocolate,朱古力,چاکلیٹ,chocolate,चकलेट,चॉकलेट,,Cokelat
19740,朵,朵,hbl__04,,edb__KS1,do2[doe2],(measure)((for flowers)),朵,پیمائش  ,paimysh,(measure),फूल,,satuan (bunga)
19750,村子,村子,hbl__04,,edb__KS1,cyun1-zi2,village,村子,گاؤں,gaon,गाउँ,गाँव,,Desa
19760,村民,村民,hbl__04,,edb__KS1,cyun1-man4,villager,村民,گاؤں والا,gao wala,गाउँले,ग्रामवासी,,Orang desa
19770,杯子,杯子,hbl__04,,edb__KS1,bui1-zi2,cup,杯子,کپ,kap,कप,कप,,cangkir
19780,東,東,hbl__04,,edb__KS1,dung1,east,东,مشرق,mashriq,पूर्व,पूर्व,,timur
19790,東方,東方,hbl__04,,edb__KS1,dung1-fong1,eastern,东方,مشرقی,mashriqi,पूर्वीय,पूर्वि,,Timur
19800,東西,東西,hbl__04,,edb__KS1,dung1-sai1,thing,东西,چیز,chiz,केही कुरा,चीज़,,benda
19810,松樹,松樹,hbl__04,,edb__KS1,cung4-syu6,pine,松树,پائن,pine,सल्ला,देवदार,,pinus
19820,松鼠,松鼠,hbl__04,,edb__KS1,cung4-syu2,squirrel,松鼠,گلہری,gulahery,लोखर्के,गिलहरी,,tupai
19830,林,林,hbl__04,,edb__KS1,lam4,wood,林,لکڑی,lakri,जङ्गल,जंगल,,hutan
19840,果園,果園,hbl__04,,edb__KS1,gwo2-jyun4,fruit farm,果园,پھلوں کا باغ,pahloo ka bagh,फलफूलको बगौंचा,फलोद्यान,,kebun buah-buahan
19850,果子,果子,hbl__04,,edb__KS1,gwo2-zi2,fruit,果子,پھل,phal,फल,फल,,Buah
19860,果實,果實,hbl__04,,edb__KS1,gwo2-sat6,fruit,果实,پھل,phal,फलफूल,फल,,buah
19870,果樹,果樹,hbl__04,,edb__KS1,gwo2-syu6,fruit tree,果树,پھل کا درخت,phal ka darakht,फल दिने रुख,फल का पेड़,,Pohon buah
19880,果汁,果汁,hbl__04,,edb__KS1,gwo2-zap1,fruit juice,果汁,پھل کا رس,phal ka rs,फलफूलको जूस,फलों का रस,,jus buah
19890,果然,果然,hbl__04,,edb__KS1,gwo2-jin4,really,果然,واقعی,waqai,साँच्चै,वास्तव में,,Betulkah
19900,果皮,果皮,hbl__04,,edb__KS1,gwo2-pei4,fruit peel,果皮,پھل کا چھلکا,phal ka chilka,फलफूल छोडाउनु,छाल,,kulit buah
19910,枝,枝,hbl__04,,edb__KS1,zi1,branch,枝,شاخ,shakh,हाँगा,डाली,,ranting pohon
19920,枝葉,枝葉,hbl__04,,edb__KS1,zi1-jip6,branches and leaves,枝叶,شاخیں اور پتے,shakhai aur patai,हाँगा र पातहरू,शाखाएं और पत्तियां ,,ranting dan daun
19930,枝頭,枝頭,hbl__04,,edb__KS1,zi1-tau4,top branch,枝头,شاخ,shakh,माथिल्लो हाँगा,ऊपरी डाली ,,ujung ranting
19940,架子,架子,hbl__04,,edb__KS1,gaa3-zi2,shelf,架子,شیلف,shelf,तखता,शेल्फ,,Rak
19941,架子,架子,hbl__04,,edb__KS1,gaa3-zi2,arrogance,架子,مغرور ,maghror,अहंकार,अक्खड़पन,,arogan
19950,校園,校園,hbl__04,,edb__KS1,haau6-jyun4,campus,校园,کیمپس,kampus,क्याम्पस,परिसर,,kampus
19960,校服,校服,hbl__04,,edb__KS1,haau6-fuk6,school uniform,校服,یونیفارم,uniform,पोशाक,वर्दी,,seragam sekolah
19970,校長,校長,hbl__04,cat__freq,edb__NA,haau6-zoeng2,headmaster,校长,ہیڈماسٹر,headmaster,प्रधानाध्यापक,प्रधान अध्यापक,,Kepala Sekolah
19980,核突,核突,hbl__04,cat__freq,edb__NA,wat6-dat6,ugly,丑,بدصورت,bd sorat,कुरूप,कुरूप,,jelek
19990,根,根,hbl__04,,edb__KS1,gan1,root,根,جڑ,jr,मूल,जड़,,akar
20000,根本,根本,hbl__04,,edb__KS1,gan1-bun2,in the first place,根本,پہلی فرست,payhly fursat,पहिलो स्थानमा,मौलिक,,dari awal
20001,根本,根本,hbl__04,,edb__KS1,gan1-bun2,foundation,根本,بنیاد,bunyaad,सुरूवाती जग,बुनियाद,,dasar
20010,條件,條件,hbl__04,,edb__KS1,tiu4-gin2,condition,条件,حالت,halat,अवस्था,शर्तें,,kondisi
48890,梳,梳,hbl__04,,edb__KS1,so1,to comb,梳,کنگھی,kanghi,कपाल कोर्नु,कंघी करना ,,menyisir
20020,棵,棵,hbl__04,,edb__KS1,fo2,(measure)((for plants)),棵,پیماّش,paiymish,रूख,तना,,satuan (pohon)
20030,植物,植物,hbl__04,,edb__KS1,zik6-mat6,plant,植物,پودا,poda,बोट,पौधा,,tanaman  
20040,樓,樓,hbl__04,,edb__KS1,lau4;lau2,building,楼,عمارت,amarat,भवन,इमारत,,gedung
20041,樓,樓,hbl__04,,edb__KS1,lau4;lau2,floor,楼,فرش,farsh,भुइँ,मंज़िल,,lantai
20050,樣子,樣子,hbl__04,,edb__KS1,joeng6-zi2,appearance,样子,حلیہ ,hulya,स्वरुप,दिखावट,,tampang
20060,樹木,樹木,hbl__04,,edb__KS1,syu6-muk6,trees,树木,درخت,darakht,रूखहरू,पेड़,,Pohon
20070,樹林,樹林,hbl__04,,edb__KS1,syu6-lam4,woods,树林,جنگل,jungle,जङ्गल,जंगल,,hutan
20080,樹枝,樹枝,hbl__04,,edb__KS1,syu6-zi1,branch,树枝, شاخ,shakh,रुखको हाँगा,पेड़ की टहनी,,Cabang pohon
20090,樹葉,樹葉,hbl__04,,edb__KS1,syu6-jip6,leaf,树叶,پتا,patta,पातहरू,पत्ता ,,Daun-daun
20100,橙汁,橙汁,hbl__04,,edb__KS1,caang2-zap1,orange juice,橙汁,مالٹے کا جوس,maltey ka jos,सुन्तलाको जुस,संतरे का रस,,jus jeruk
20110,機場,機場,hbl__04,cat__n_place,edb__KS1,gei1-coeng4,airport,机场,ہوائی اڈہ,hawai ada,एयरपोर्ट,हवाई अड्डा,,Bandara
20120,機會,機會,hbl__04,cat__n_abs,edb__KS1,gei1-wui6,chance,机会,موقع,muqa,अवसर,अवसर,,kesempatan
20130,機鐵,機鐵,hbl__04,,edb__KS1,gei1-tit3,Airport Express,机铁,ائیرپورٹ ایکسپریس,Airport Express,एयरपोर्ट एक्सप्रेस,एयरपोर्ट एक्सप्रेस ,,kereta cepat bandara
20140,檸檬,檸檬,hbl__04,,edb__KS1,ning4-mung1,lemon,柠檬,لیموں,lemon,कागती,नींबू,,lemon
20150,櫃位,櫃位,hbl__04,,edb__KS1,gwai6-wai2,counter,柜位,کاؤنٹر,counter,काउन्टर,काउंटर,,counter
20160,櫃台,櫃台,hbl__04,,edb__KS1,gwai6-toi4,counter,柜台,کاؤنٹر,counter,काउन्टर,काउंटर,,counter
20170,櫃子,櫃子,hbl__04,,edb__KS1,gwai6-zi2,cupboard,柜子,الماری,almari,दराज,अलमारी ,,lemari
20180,欠,欠,hbl__04,,edb__KS1,him3,owe,欠,مقروض,maqrooz,ऋणी हुनु,आभारी होना,,hutang
20190,次次,次次,hbl__04,cat__freq,edb__NA,ci3-ci3,every time,次次,ہر بار,har bar,हरेक पल्ट,हर बार,,tiap kali
20200,歌唱,歌唱,hbl__04,,edb__KS1,go1-coeng3,sing,歌唱,گانا,gana,गाउनु,गायन,,nyanyi  
20210,歌手,歌手,hbl__04,,edb__KS1,go1-sau2,singer,歌手,گلوکار,glukar,गायक,गायक,,penyanyi
20220,歌星,歌星,hbl__04,,edb__KS1,go1-sing1,singer,歌星,گلوکار,glukar,गायक,प्रसिद्ध गायक,,Penyanyi
20230,歌聲,歌聲,hbl__04,,edb__KS1,go1-sing1,singing,歌声,گانا,gana,गाउँदै,गायन ,,suara nyanyi
20240,歌詞,歌詞,hbl__04,,edb__KS1,go1-ci4,lyrics,歌词,نظم,nzam,गीतको शब्द,बोल,,lirik
20250,歡喜,歡喜,hbl__04,,edb__KS1,fun1-hei2,joyful,欢喜,خوشی,khushi,खुशी,हर्षित,,kegembiraan
20260,歡快,歡快,hbl__04,,edb__KS1,fun1-faai3,lively,欢快,زندہ دل,zinda dil,हँसिलो,हंसमुख,,Riang
20270,歡笑,歡笑,hbl__04,,edb__KS1,fun1-siu3,laugh merrily,欢笑,ہنسنا,hasna,रमाएर हाँस्नु,हंसना ,,Tertawa
20280,止,止,hbl__04,,edb__KS1,zi2,stop,止,رک جاؤ,rok jaw,रोक,रूकना ,,berhenti
20290,正中,正中,hbl__04,,edb__KS1,zing3-zung1,centre,正中,وسط,wast,मध्य,मध्य,,tengah
20300,正在,正在,hbl__04,,edb__KS1,zing3-zoi6,in progress of,正在,ارتقاء میں,iertqa mein,हुनु,हो रहा है ,,sedang
20310,正好,正好,hbl__04,,edb__KS1,zing3-hou2,just in time,正好,عین وقت پر,ain waqt par,समयमै,बिल्कुल सही समय ,,kebetulan
20320,正如,正如,hbl__04,,edb__KS1,zing3-jyu4,just as,正如,جیسا کہ,jasa kai,जस्तै,जैसा,,Sebagai
20330,正常,正常,hbl__04,,edb__KS1,zing3-soeng4,normal,正常,عام,am,सामान्य,साधारण,,normal
20340,正方,正方,hbl__04,,edb__KS1,zing3-fong1,square,正方,مربع,muraba,वर्ग,वर्ग,, kotak persegi
20350,正是,正是,hbl__04,,edb__KS1,zing3-si6,exactly,正是,بالکل ٹھیک,bilkul theak,ठ्याक्कै,बिल्कुल सही,,Persis
20360,正面,正面,hbl__04,,edb__KS1,zing3-min6,positive,正面,مثبت,musbat,सकारात्मक,सकारात्मक,,positif
20361,正面,正面,hbl__04,,edb__KS1,zing3-min6,front,正面,سامنے,samnay,अगाडी,अगवाड़ा,,depan
20370,步,步,hbl__04,,edb__KS1,bou6,step,步,قدم,qadam,चरण,कदम,,langkah
20380,步行,步行,hbl__04,,edb__KS1,bou6-hang4,walk,步行,چلنا,jalna,हिंड,चलना,,berjalan
20390,歲數,歲數,hbl__04,,edb__KS1,seoi3-sou3,age,岁数,عمر,umar,उमेर,आयु,,usia
20400,死者,死者,hbl__04,,edb__KS1,sei2-ze2,deceased,死者,مردہ,murdah,मृत,मृतक,,meninggal
20410,母,母,hbl__04,,edb__KS1,mou5,mother,母,ماں,ma,आमा,मातृक,,ibu
20420,母子,母子,hbl__04,,edb__KS1,mou5-zi2,mother and child,母子,ماں اور بیٹا,mom aur betha,आमा र बच्चा,माँ और बेटा,,Ibu dan anak laki-laki
20430,母親,母親,hbl__04,,edb__KS1,mou5-can1,mother,母亲,ماں,mother,आमा,मां/माता ,,ibu
20440,每,每,hbl__04,,edb__KS1,mui5,every,每,ہر ایک,har ik,प्रत्येक,प्रत्येक,,setiap
20450,每每,每每,hbl__04,,edb__KS1,mui5-mui5,often,每每,اکثر,iksar,अक्सर,हर बार ,,sering
20460,每當,每當,hbl__04,,edb__KS1,mui5-dong1,every time,每当,ہر وقت,her waqt,हरेक समय,जब कभी,,setiap kali
20470,比,比,hbl__04,,edb__KS1,bei2,ratio,比,تناسب,tanaseeb,अनुपात,अनुपात,,perbandingan
20480,毛,毛,hbl__04,,edb__KS1,mou4,fur,毛,بال,bal,रौं,खाल ,,bulu
20490,毛筆,毛筆,hbl__04,,edb__KS1,mou4-bat1,ink brush,毛笔,لکھنے کا برش,likhnai ka brush,लेख्ने ब्रश,लिखने का ब्रश,,kuas bulu
20500,毛衣,毛衣,hbl__04,,edb__KS1,mou4-ji1,sweater,毛衣,سویٹر,sweater,स्वेटर,स्वेटर,,Sweater
20510,毫升,毫升,hbl__04,,edb__KS1,hou4-sing1,millilitre,毫升,ملی لیٹر,millilitre,एम.एल.,मिलीलीटर,,mili liter
20520,毫子,毫子,hbl__04,cat__freq,edb__NA,hou4-zi2,10 cents,毛钱,10 سینٹ,10 cents,पैसा,10 सेंट,,koin 10sen
20530,毫米,毫米,hbl__04,,edb__KS1,hou4-mai5,millimetre,毫米,ملی میٹر,millimetre,मिलिमिटर,मिमी,,mili meter
20540,民間,民間,hbl__04,,edb__KS1,man4-gaan1,folk,民间,لوک,loq,जात जाती,लोक,,rakyat
20550,氣,氣,hbl__04,,edb__KS1,hei3,air,气,ہوا,hawa,हावा,हवा ,,gas
20560,氣候,氣候,hbl__04,,edb__KS1,hei3-hau6,climate,气候,آب و ہوا,ab o hawa,हावापानी,जलवायु,,iklim
20570,氣力,氣力,hbl__04,,edb__KS1,hei3-lik6,strength,气力,طاقت,taqat,ताकत,शक्ति,,kekuatan
20580,氣温,氣温,hbl__04,,edb__KS1,hei3-wan1,air temperature,气温,ہوا کا درجہ حرارت,hawa ka darja harart,हावा तापमान,हवा का तापमान,,temperatur udara
20590,氣體,氣體,hbl__04,,edb__KS1,hei3-tai2,gas,气体,گیس,gas,ग्यास,गैस,,gas
20600,水份,水份,hbl__04,,edb__KS1,seoi2-fan6,moisture content,水份,نمی کی مقدار,nami ki miqdaar,आर्द्रता,नमी,,Kelembaban
20610,水分,水分,hbl__04,,edb__KS1,seoi2-fan6,moisture content,水分,نمی کی مقدار,nami ki miqdaar,आर्द्रता,बकवास,,Kelembaban
20620,水手,水手,hbl__04,,edb__KS1,seoi2-sau2,sailor,水手,ملاح,mallah,जलयात्री,नाविक,,pelaut
20630,水果,水果,hbl__04,,edb__KS1,seoi2-gwo2,fruit,水果,پھل,phal,फल,फल,,buah
20640,水母,水母,hbl__04,,edb__KS1,seoi2-mou5,jellyfish,水母,جیلی فش,jelly fish,जेलीफीस,जेलिफ़िश,,Ubur-ubur
